地点名,カテゴリ,緯度,経度,確認済み,説明,注意メモ,Google Maps URL
Albireo,食事,44.070141,144.994234,FALSE,種別: cafe / Web: https://www.coffee-albireo.com,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13040590501 / OSM check_date: 2025-08-01,"https://www.google.com/maps/search/?api=1&query=44.070141,144.994234"
Arujis,食事,44.021888,144.264654,FALSE,種別: restaurant / 料理ジャンル: italian / 電話: 0152-67-7147 / Web: https://m.facebook.com/arujis.abashiri/,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6698979185,"https://www.google.com/maps/search/?api=1&query=44.021888,144.264654"
Bon's Home,食事,44.070311,144.994497,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13040614401,"https://www.google.com/maps/search/?api=1&query=44.070311,144.994497"
CAFE The Lucky Boots,食事,43.001191,144.380079,FALSE,種別: cafe / 営業時間: Mo-Su 11:00-22:00 / 電話: 819020772230 / Web: https://cafetheluckyboots.com/,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13427420301,"https://www.google.com/maps/search/?api=1&query=43.001191,144.380079"
Cafe Bal Covo (コーヴォ),食事,43.530941,144.413313,FALSE,種別: cafe / 料理ジャンル: italian / 営業時間: Mo-Su 11:00-14:30 / Web: +81 15-482-8557,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4470507688,"https://www.google.com/maps/search/?api=1&query=43.530941,144.413313"
Cafe&amp;cake,食事,43.969094,144.226431,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5821929953,"https://www.google.com/maps/search/?api=1&query=43.969094,144.226431"
DOCO,食事,43.012494,144.394496,FALSE,定休日 不定休 予算1000円 公立大からの距離300(徒歩5分) 食べログ評価 0件 席数/駐車場 カウンター席4席、小上がり席8席/5台 / 種別: cafe / 料理ジャンル: たこ焼き / 営業時間: 11:30-17:00 / Web: +81-154-68-5128,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676450,"https://www.google.com/maps/search/?api=1&query=43.012494,144.394496"
Pan de Pan,食事,43.433268,144.098662,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11936165684,"https://www.google.com/maps/search/?api=1&query=43.433268,144.098662"
Prezzemolo,食事,43.152153,144.501271,FALSE,種別: restaurant / 料理ジャンル: italian;italian_pizza,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6923851985,"https://www.google.com/maps/search/?api=1&query=43.152153,144.501271"
Ryogoku hot springs Inn & restaurant,食事,43.432857,144.099914,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11936118773,"https://www.google.com/maps/search/?api=1&query=43.432857,144.099914"
Tonny's,食事,43.804521,143.892902,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11949977964,"https://www.google.com/maps/search/?api=1&query=43.804521,143.892902"
coffee hiro,食事,44.02123,144.268814,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4849389031,"https://www.google.com/maps/search/?api=1&query=44.02123,144.268814"
hanakura,食事,42.983295,144.386642,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5170207421,"https://www.google.com/maps/search/?api=1&query=42.983295,144.386642"
suite de baraques café,食事,43.616647,144.45722,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6698973186,"https://www.google.com/maps/search/?api=1&query=43.616647,144.45722"
Айны,食事,44.012918,145.771111,FALSE,種別: restaurant / 営業時間: Mo-Su 08:00-23:00 / 電話: +79241989644 / Web: https://kunashir-resort.ru/restourant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13279346101,"https://www.google.com/maps/search/?api=1&query=44.012918,145.771111"
Амадеус,食事,44.026929,145.859336,FALSE,種別: restaurant / 営業時間: Mo-Fr 20:00-01:00; Sa 20:00-03:00; Su 20:00-00:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4686136891,"https://www.google.com/maps/search/?api=1&query=44.026929,145.859336"
Бриз,食事,44.024333,145.855216,FALSE,種別: cafe / 料理ジャンル: breakfast;coffee_shop;local;russian / 営業時間: Mo-Su 08:00-20:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/7940084985,"https://www.google.com/maps/search/?api=1&query=44.024333,145.855216"
Дружба,食事,44.027797,145.859553,FALSE,種別: cafe / 営業時間: Mo-Su 08:00-10:00; 12:30-15:00; 17:00-19:30,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/9429012429,"https://www.google.com/maps/search/?api=1&query=44.027797,145.859553"
Дружба,食事,44.027814,145.859506,FALSE,種別: bar / 営業時間: Tu-Su 20:00-02:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/12162409147,"https://www.google.com/maps/search/?api=1&query=44.027814,145.859506"
Моё кафе,食事,44.028759,145.864326,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/7940030485,"https://www.google.com/maps/search/?api=1&query=44.028759,145.864326"
Океан,食事,44.028761,145.86431,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4223379090,"https://www.google.com/maps/search/?api=1&query=44.028761,145.86431"
Пит Стоп Бургер,食事,44.026849,145.859353,FALSE,種別: fast_food / 料理ジャンル: burger;sandwich;japanese / 営業時間: Mo-Su 09:00-21:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4686094195,"https://www.google.com/maps/search/?api=1&query=44.026849,145.859353"
Росинка,食事,44.025316,145.865046,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4234977689,"https://www.google.com/maps/search/?api=1&query=44.025316,145.865046"
あしょろ庵,食事,43.232687,143.544719,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/2491244990,"https://www.google.com/maps/search/?api=1&query=43.232687,143.544719"
あら陣,食事,43.549339,144.977455,FALSE,種別: restaurant / 料理ジャンル: ramen / 電話: +81 153 78 9955 / Web: https://arajins.com/wp/,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11295472512,"https://www.google.com/maps/search/?api=1&query=43.549339,144.977455"
あんくる&チボリ,食事,43.333199,145.581156,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11141028066,"https://www.google.com/maps/search/?api=1&query=43.333199,145.581156"
いろはにほへと,食事,43.803704,143.894536,FALSE,種別: pub,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/8778957038,"https://www.google.com/maps/search/?api=1&query=43.803704,143.894536"
いろはにほへと,食事,44.057114,143.522024,FALSE,種別: bar,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5468458022,"https://www.google.com/maps/search/?api=1&query=44.057114,143.522024"
おしながき,食事,43.244052,143.548381,FALSE,種別: restaurant / 料理ジャンル: japanese;sushi / 電話: 0156252625,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13016629701,"https://www.google.com/maps/search/?api=1&query=43.244052,143.548381"
お好み焼/もんじゃ焼 なつかし屋,食事,44.001632,144.283866,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/12514066964,"https://www.google.com/maps/search/?api=1&query=44.001632,144.283866"
お食事処勢㐂,食事,42.98339,144.387208,FALSE,種別: restaurant / 料理ジャンル: seafood / 営業時間: Mo-Sa 17:30-24:00 / 電話: +81-154-25-7555,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/12944056988,"https://www.google.com/maps/search/?api=1&query=42.98339,144.387208"
かつ里き,食事,43.995175,144.289184,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003709026,"https://www.google.com/maps/search/?api=1&query=43.995175,144.289184"
かに源,食事,44.01958,144.24814,FALSE,種別: restaurant / 料理ジャンル: sushi,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/464397303,"https://www.google.com/maps/search/?api=1&query=44.01958,144.24814"
かねちゃん,食事,43.80447,143.893037,FALSE,種別: pub,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11949977966,"https://www.google.com/maps/search/?api=1&query=43.80447,143.893037"
かまど屋,食事,43.01193,144.393405,FALSE,種別: restaurant / 料理ジャンル: pork_cutlet / 営業時間: 11:30-14:30,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676451,"https://www.google.com/maps/search/?api=1&query=43.01193,144.393405"
かもめ食堂,食事,43.009347,144.272777,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/10184593562,"https://www.google.com/maps/search/?api=1&query=43.009347,144.272777"
きた鳥,食事,44.021178,144.266933,FALSE,種別: pub,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003716920,"https://www.google.com/maps/search/?api=1&query=44.021178,144.266933"
きらく食堂,食事,43.388103,145.113223,FALSE,種別: restaurant / 営業時間: Mo-Su 11:00-20:00 / 電話: +81-153 75 3424,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6586074885,"https://www.google.com/maps/search/?api=1&query=43.388103,145.113223"
きんりゅうらーめん,食事,43.822112,143.909594,FALSE,種別: fast_food,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4798363927,"https://www.google.com/maps/search/?api=1&query=43.822112,143.909594"
ぎゅう太,食事,43.010489,144.401345,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676461,"https://www.google.com/maps/search/?api=1&query=43.010489,144.401345"
くしろ にしんそば,食事,43.015426,144.34507,FALSE,種別: restaurant / 料理ジャンル: japanese / 営業時間: 11:00-14:00 17:30-20:00 Tu Close / 電話: +81 154-65-1647,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6768763338,"https://www.google.com/maps/search/?api=1&query=43.015426,144.34507"
さかまる,食事,43.023541,144.3549,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5326417223,"https://www.google.com/maps/search/?api=1&query=43.023541,144.3549"
さくら湯,食事,43.000261,144.398288,FALSE,種別: public_bath / 営業時間: We-Mo 12:00-23:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13137866801,"https://www.google.com/maps/search/?api=1&query=43.000261,144.398288"
さわ,食事,44.021556,144.267921,FALSE,種別: pub,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003716924,"https://www.google.com/maps/search/?api=1&query=44.021556,144.267921"
さんぱち ラーメン,食事,44.00195,144.282891,FALSE,種別: restaurant / 料理ジャンル: ramen,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003709023,"https://www.google.com/maps/search/?api=1&query=44.00195,144.282891"
さんぱちラーメン遠軽店,食事,44.06342,143.525119,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4779288138,"https://www.google.com/maps/search/?api=1&query=44.06342,143.525119"
しば乃家,食事,43.99349,144.290307,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003752946,"https://www.google.com/maps/search/?api=1&query=43.99349,144.290307"
しゃぶしゃぶと自然派ビュッフェ 北菜亭 釧路愛国店,食事,43.008926,144.384469,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6691129785,"https://www.google.com/maps/search/?api=1&query=43.008926,144.384469"
すき家,食事,43.011992,144.357846,FALSE,種別: fast_food / 料理ジャンル: beef_bowl / ブランド: すき家,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4920229221,"https://www.google.com/maps/search/?api=1&query=43.011992,144.357846"
すき家,食事,44.020228,144.252514,FALSE,種別: fast_food / 料理ジャンル: beef_bowl / ブランド: すき家,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11936463070,"https://www.google.com/maps/search/?api=1&query=44.020228,144.252514"
すずや食堂,食事,43.787174,143.639693,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11982751611,"https://www.google.com/maps/search/?api=1&query=43.787174,143.639693"
そばのかね久,食事,43.835003,144.106053,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11991143032,"https://www.google.com/maps/search/?api=1&query=43.835003,144.106053"
そば処 日本橋,食事,43.008575,144.405106,FALSE,種別: restaurant / 料理ジャンル: japanese / 営業時間: Mo-Su / Web: +81 154 36 3144,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665695487,"https://www.google.com/maps/search/?api=1&query=43.008575,144.405106"
そば処松風庵,食事,42.984739,144.383,FALSE,種別: restaurant / 料理ジャンル: soba,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/12050356895,"https://www.google.com/maps/search/?api=1&query=42.984739,144.383"
そば処福住,食事,43.53656,144.978343,FALSE,種別: restaurant / 料理ジャンル: soba,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11299982538,"https://www.google.com/maps/search/?api=1&query=43.53656,144.978343"
たい夢,食事,43.799948,143.890881,FALSE,種別: fast_food / 電話: +81 157 31 5662,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/8749629294,"https://www.google.com/maps/search/?api=1&query=43.799948,143.890881"
たこ焼ヴィッキー,食事,43.796712,143.840998,FALSE,種別: fast_food / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4638894993,"https://www.google.com/maps/search/?api=1&query=43.796712,143.840998"
だるまや,食事,44.019592,144.267914,FALSE,種別: restaurant / 料理ジャンル: ramen,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003709017,"https://www.google.com/maps/search/?api=1&query=44.019592,144.267914"
ちさん亭,食事,43.804452,143.8924,FALSE,種別: restaurant / 料理ジャンル: japanese / 電話: +81 157 25 1164,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11389858053,"https://www.google.com/maps/search/?api=1&query=43.804452,143.8924"
つべつ西洋軒,食事,43.708182,144.022658,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4778918122,"https://www.google.com/maps/search/?api=1&query=43.708182,144.022658"
つぼ八,食事,43.798197,143.857519,FALSE,種別: pub / ブランド: つぼ八,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6326483302,"https://www.google.com/maps/search/?api=1&query=43.798197,143.857519"
つぼ八,食事,43.823424,144.103522,FALSE,種別: pub / ブランド: つぼ八,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11963924689,"https://www.google.com/maps/search/?api=1&query=43.823424,144.103522"
つぼ八,食事,44.020834,144.265002,FALSE,種別: pub / ブランド: つぼ八,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003716922,"https://www.google.com/maps/search/?api=1&query=44.020834,144.265002"
つぼ八,食事,44.060285,143.52399,FALSE,種別: pub / ブランド: つぼ八,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/12770295863,"https://www.google.com/maps/search/?api=1&query=44.060285,143.52399"
なか卯;ザ・ゴールド,食事,44.001707,144.282935,FALSE,種別: fast_food / 店舗種別: jewelry / 料理ジャンル: udon / ブランド: なか卯,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003662356,"https://www.google.com/maps/search/?api=1&query=44.001707,144.282935"
なごやか亭,食事,43.011739,144.40291,FALSE,種別: restaurant / 料理ジャンル: sushi,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676463,"https://www.google.com/maps/search/?api=1&query=43.011739,144.40291"
なごやか亭,食事,43.022478,144.357232,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5326400429,"https://www.google.com/maps/search/?api=1&query=43.022478,144.357232"
なごやか亭新川店 Nagoyakatei Shinkawa,食事,43.001237,144.37311,FALSE,種別: restaurant / 営業時間: Mo-Su 11:00-22:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6867654485,"https://www.google.com/maps/search/?api=1&query=43.001237,144.37311"
ねむろお魚食堂,食事,43.332444,145.582141,FALSE,種別: restaurant / 料理ジャンル: fish,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11141028069,"https://www.google.com/maps/search/?api=1&query=43.332444,145.582141"
はた蕎麦,食事,43.46878,143.743312,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/8927884217,"https://www.google.com/maps/search/?api=1&query=43.46878,143.743312"
びっくりドンキー,食事,43.010973,144.359806,FALSE,種別: restaurant / 料理ジャンル: burger / ブランド: びっくりドンキー,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4832522422,"https://www.google.com/maps/search/?api=1&query=43.010973,144.359806"
ふか井,食事,44.019985,144.263846,FALSE,種別: pub,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4003716930,"https://www.google.com/maps/search/?api=1&query=44.019985,144.263846"
ふく亭,食事,43.010718,144.3962,FALSE,"公立大からの距離 1km(徒歩12分,車4分) 平均予算4000円 食べログ 3.2 / 種別: restaurant / 料理ジャンル: japanese / 営業時間: Mo-Th 11:00-15:00",OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676456,"https://www.google.com/maps/search/?api=1&query=43.010718,144.3962"
ぶたふく,食事,43.013243,144.26503,FALSE,種別: fast_food / 営業時間: We-Mo 11:00-14:30,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5326400433,"https://www.google.com/maps/search/?api=1&query=43.013243,144.26503"
ぷらっとカフェ駅茶屋,食事,43.728821,143.738185,FALSE,種別: cafe / Web: http://ekichaya.com/,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6320773501,"https://www.google.com/maps/search/?api=1&query=43.728821,143.738185"
ほっともっと,食事,43.01578,144.32581,FALSE,種別: fast_food / 料理ジャンル: japanese / ブランド: ほっともっと / 営業時間: Mo-Su 10:00-23:00 / 電話: +81 154 55 5564 / Web: https://www.hottomotto.com/sp/,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5674467822,"https://www.google.com/maps/search/?api=1&query=43.01578,144.32581"
ほっともっと,食事,43.821217,144.110079,FALSE,種別: fast_food / 料理ジャンル: japanese / ブランド: ほっともっと,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11963924759,"https://www.google.com/maps/search/?api=1&query=43.821217,144.110079"
ほっともっと,食事,43.999397,144.285506,FALSE,種別: fast_food / 料理ジャンル: japanese / ブランド: ほっともっと / 営業時間: 10:00-23:00,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4127653131,"https://www.google.com/maps/search/?api=1&query=43.999397,144.285506"
まるとも 水産,食事,42.985366,144.383914,FALSE,種別: restaurant / 料理ジャンル: fish,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6739233088 / OSM check_date: 2024-09-05,"https://www.google.com/maps/search/?api=1&query=42.985366,144.383914"
もちとラーメン もち処 甘善,食事,43.008052,144.363425,FALSE,種別: restaurant / 料理ジャンル: chinese;japanese / 営業時間: Mo-Sa 10:00-17:00 / 電話: +81 154-51-0551,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6758854694,"https://www.google.com/maps/search/?api=1&query=43.008052,144.363425"
もんじゃお好み焼きもん吉,食事,43.545638,144.975956,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11266737609,"https://www.google.com/maps/search/?api=1&query=43.545638,144.975956"
らーめん日和,食事,43.022958,144.355967,FALSE,種別: fast_food,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5326400427,"https://www.google.com/maps/search/?api=1&query=43.022958,144.355967"
アズハウス,食事,42.955477,144.074131,FALSE,種別: cafe / 営業時間: 10時~19時 / 電話: 01547-2-3833,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11206991870,"https://www.google.com/maps/search/?api=1&query=42.955477,144.074131"
アルカディア,食事,44.02029,144.253254,FALSE,種別: restaurant / 料理ジャンル: italian / 電話: +81 152442152,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13516300182 / OSM check_date: 2026-02-01,"https://www.google.com/maps/search/?api=1&query=44.02029,144.253254"
イタリア食堂 晴,食事,43.802677,143.877093,FALSE,種別: restaurant / 料理ジャンル: italian,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11773513155 / OSM check_date: 2024-03-30,"https://www.google.com/maps/search/?api=1&query=43.802677,143.877093"
ウトロ漁協婦人部食堂,食事,44.072918,144.993905,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5893195390,"https://www.google.com/maps/search/?api=1&query=44.072918,144.993905"
エッフェル塔,食事,43.010019,144.272607,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4780645826,"https://www.google.com/maps/search/?api=1&query=43.010019,144.272607"
エピナール,食事,43.01327,144.387962,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665725327,"https://www.google.com/maps/search/?api=1&query=43.01327,144.387962"
エフ,食事,43.781443,143.595272,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/4936932752,"https://www.google.com/maps/search/?api=1&query=43.781443,143.595272"
カウベル,食事,43.014442,144.399761,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665676459,"https://www.google.com/maps/search/?api=1&query=43.014442,144.399761"
カフェ モナミ,食事,43.014882,144.325812,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5828067489,"https://www.google.com/maps/search/?api=1&query=43.014882,144.325812"
カフェコンチェルト,食事,43.803606,143.893654,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/8778892913,"https://www.google.com/maps/search/?api=1&query=43.803606,143.893654"
カフェプランドール,食事,43.020685,144.358995,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11206991910,"https://www.google.com/maps/search/?api=1&query=43.020685,144.358995"
カフェ・オーク,食事,43.399672,145.120817,FALSE,種別: cafe / 料理ジャンル: seafood;tea;japanese;burger;coffee_shop / 営業時間: We-Su 10:00-16:30 / 電話: 0153 75 0995,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6586173886,"https://www.google.com/maps/search/?api=1&query=43.399672,145.120817"
カレーショップ インデアン 釧路あさひ町店,食事,42.98719,144.389967,FALSE,種別: restaurant / 料理ジャンル: indian,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11209609896,"https://www.google.com/maps/search/?api=1&query=42.98719,144.389967"
キッチンままべん,食事,43.854442,144.464081,FALSE,種別: restaurant / 料理ジャンル: japanese,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/13031362401,"https://www.google.com/maps/search/?api=1&query=43.854442,144.464081"
ケンタッキーフライドチキン,食事,42.976031,144.413046,FALSE,種別: fast_food / 料理ジャンル: chicken / ブランド: ケンタッキーフライドチキン,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11206998761,"https://www.google.com/maps/search/?api=1&query=42.976031,144.413046"
ケンタッキーフライドチキン,食事,43.008906,144.404604,FALSE,種別: fast_food / 料理ジャンル: chicken / ブランド: ケンタッキーフライドチキン / 営業時間: 09:00-21:00 / 電話: +81-154391461,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5665695485,"https://www.google.com/maps/search/?api=1&query=43.008906,144.404604"
ケンタッキーフライドチキン,食事,43.535702,144.976873,FALSE,種別: fast_food / 料理ジャンル: chicken / ブランド: KFC,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11299982530,"https://www.google.com/maps/search/?api=1&query=43.535702,144.976873"
ケンタッキーフライドチキン,食事,43.808502,143.875837,FALSE,種別: fast_food / 料理ジャンル: chicken / ブランド: ケンタッキーフライドチキン,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11949143324,"https://www.google.com/maps/search/?api=1&query=43.808502,143.875837"
コメダ珈琲店,食事,43.00872,144.405257,FALSE,種別: cafe / 料理ジャンル: coffee_shop / ブランド: コメダ珈琲店,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/11206991924,"https://www.google.com/maps/search/?api=1&query=43.00872,144.405257"
コンキリエ,食事,43.057642,144.844205,FALSE,種別: restaurant,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/2877402301 / OSM check_date: 2024-09-07,"https://www.google.com/maps/search/?api=1&query=43.057642,144.844205"
コーヒーチップトマリ,食事,43.960581,144.837438,FALSE,種別: cafe,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/5049867321,"https://www.google.com/maps/search/?api=1&query=43.960581,144.837438"
コーヒー専科 美和,食事,43.01502,144.350501,FALSE,種別: cafe / 料理ジャンル: coffee_shop / 電話: +81 154-53-0717,OSM/既存CSV由来。営業時間・営業日・ラストオーダーは要確認。 / OSM ID: node/6755302596,"https://www.google.com/maps/search/?api=1&query=43.01502,144.350501"
